"Issue Type","Summary","Test Case ID","Module","Feature","Priority","Severity","Preconditions","Test Steps","Test Data","Expected Result","Actual Result","Status","Labels"
"Test","TC-CAUTH-023 - Register/body","TC-CAUTH-023","Customer Auth","Register/body","Medium","Medium","—","Body rỗng `{}`","—","400 gộp lỗi 3 field","","","Customer-Auth"
"Test","TC-CAUTH-024 - Register/body","TC-CAUTH-024","Customer Auth","Register/body","Medium","Low","—","Body không phải JSON","text thô","400 (parse error)","","","Customer-Auth"
"Test","TC-CAUTH-025 - Register/extra","TC-CAUTH-025","Customer Auth","Register/extra","Low","Low","—","Gửi thêm field lạ `role:""admin""`","—","Field lạ bị bỏ qua; **không** cho phép set role","","","Customer-Auth"
"Test","TC-CAUTH-026 - Register/duplicate","TC-CAUTH-026","Customer Auth","Register/duplicate","High","Critical","Email a@test.com đã tồn tại","POST /register cùng email","như bên","400 ""Email đã được sử dụng""","","","Customer-Auth"
"Test","TC-CAUTH-027 - Register/duplicate","TC-CAUTH-027","Customer Auth","Register/duplicate","Medium","High","Email `A@test.com` tồn tại","Đăng ký `a@test.com` (khác hoa/thường)","như bên","⚠️ASSUMED: cần chuẩn hóa lowercase để tránh 2 tài khoản trùng. Kiểm tra hành vi `existsEmail`","","","Customer-Auth"
"Test","TC-CAUTH-028 - Register/concurrency","TC-CAUTH-028","Customer Auth","Register/concurrency","High","High","—","2 request đăng ký cùng email **đồng thời**","như bên","Chỉ 1 thành công; request 2 nhận 400/409 (UNIQUE constraint, không tạo 2 bản ghi)","","","Customer-Auth"
"Test","TC-CAUTH-029 - Register/edge","TC-CAUTH-029","Customer Auth","Register/edge","Medium","Medium","—","Double-click nút Đăng ký","2 lần liên tiếp","Chỉ 1 tài khoản; lần 2 báo email đã dùng","","","Customer-Auth"
"Test","TC-CAUTH-030 - Login","TC-CAUTH-030","Customer Auth","Login","High","Critical","Tài khoản active","POST /login đúng thông tin","`{email,password}`","200, trả `accessToken`, `refreshToken`, `customer`, `supabaseSession`","","","Customer-Auth"
"Test","TC-CAUTH-031 - Login","TC-CAUTH-031","Customer Auth","Login","High","Critical","—","Sai mật khẩu","password sai","400 ""Email hoặc mật khẩu không đúng"" (thông báo chung)","","","Customer-Auth"
"Test","TC-CAUTH-032 - Login","TC-CAUTH-032","Customer Auth","Login","High","Critical","—","Email không tồn tại","email lạ","400 ""Email hoặc mật khẩu không đúng"" — **giống hệt** case sai pass (chống enumeration)","","","Customer-Auth"
"Test","TC-CAUTH-033 - Login","TC-CAUTH-033","Customer Auth","Login","High","High","Tài khoản `status='locked'`","POST /login đúng pass","như bên","403 ""Tài khoản đã bị khóa""","","","Customer-Auth"
"Test","TC-CAUTH-034 - Login","TC-CAUTH-034","Customer Auth","Login","Medium","Medium","Supabase down","POST /login","hợp lệ","Vẫn login được (supabaseSession best-effort null)","","","Customer-Auth"
"Test","TC-CAUTH-035 - Login/token","TC-CAUTH-035","Customer Auth","Login/token","High","High","Login OK","Giải mã accessToken","—","Payload `{id, type:""customer"", full_name}`, **không** chứa password/email","","","Customer-Auth"
"Test","TC-CAUTH-036 - Login/validation","TC-CAUTH-036","Customer Auth","Login/validation","Medium","Medium","—","Thiếu password","`{email}`","400 ""Vui lòng nhập mật khẩu""","","","Customer-Auth"
"Test","TC-CAUTH-037 - Login/validation","TC-CAUTH-037","Customer Auth","Login/validation","Medium","Medium","—","Email sai format","`email:""abc""`","400 ""Email không hợp lệ""","","","Customer-Auth"
"Test","TC-CAUTH-038 - Login/SQLi","TC-CAUTH-038","Customer Auth","Login/SQLi","High","Critical","—","password = `' OR '1'='1`","như bên","400 (bcrypt compare fail); không bypass","","","Customer-Auth"
"Test","TC-CAUTH-039 - Login/429","TC-CAUTH-039","Customer Auth","Login/429","High","High","authLimiter bật","Gửi login sai N lần vượt ngưỡng","lặp nhanh","429 Too Many Requests sau khi vượt limit","","","Customer-Auth"
"Test","TC-CAUTH-040 - Login/429","TC-CAUTH-040","Customer Auth","Login/429","Medium","Medium","Đã bị 429","Chờ hết window rồi login đúng","—","Login lại được sau khi reset window","","","Customer-Auth"
"Test","TC-CAUTH-041 - Login/timing","TC-CAUTH-041","Customer Auth","Login/timing","Medium","Medium","—","So sánh thời gian phản hồi user-tồn-tại vs không","—","Không lộ khác biệt lớn (tránh timing attack) — ghi nhận","","","Customer-Auth"
"Test","TC-CAUTH-042 - Login/edge","TC-CAUTH-042","Customer Auth","Login/edge","Medium","Medium","—","Login đồng thời nhiều tab","2+ tab","Mỗi tab nhận token hợp lệ; hoạt động độc lập","","","Customer-Auth"
"Test","TC-CAUTH-043 - Login/perf","TC-CAUTH-043","Customer Auth","Login/perf","Low","Medium","—","1000 user login đồng thời","load test","Response time trong ngưỡng SLA; không 500/timeout hàng loạt","","","Customer-Auth"
"Test","TC-CAUTH-044 - Refresh","TC-CAUTH-044","Customer Auth","Refresh","High","Critical","Có refreshToken hợp lệ","POST /refresh-token","valid token","200, cấp accessToken + refreshToken mới","","","Customer-Auth"
"Test","TC-CAUTH-045 - Refresh","TC-CAUTH-045","Customer Auth","Refresh","High","High","—","Thiếu refreshToken","`{}`","400 ""Thiếu refresh token""","","","Customer-Auth"
"Test","TC-CAUTH-046 - Refresh","TC-CAUTH-046","Customer Auth","Refresh","High","High","—","Token sai chữ ký","token giả","401/403 (verify fail)","","","Customer-Auth"
"Test","TC-CAUTH-047 - Refresh","TC-CAUTH-047","Customer Auth","Refresh","High","High","Token của internal user","POST /refresh-token với type != customer","như bên","403 ""Token sai loại tài khoản""","","","Customer-Auth"
"Test","TC-CAUTH-048 - Refresh","TC-CAUTH-048","Customer Auth","Refresh","High","High","Token hết hạn","POST /refresh-token","expired token","401/403 token expired","","","Customer-Auth"
"Test","TC-CAUTH-049 - Refresh","TC-CAUTH-049","Customer Auth","Refresh","Medium","High","Customer đã bị xóa","Refresh sau khi tài khoản bị xóa","valid token","400 ""Tài khoản không tồn tại""","","","Customer-Auth"
"Test","TC-CAUTH-050 - Refresh","TC-CAUTH-050","Customer Auth","Refresh","High","High","Customer bị khóa","Refresh khi status != active","valid token","403 ""Tài khoản đã bị khóa""","","","Customer-Auth"
"Test","TC-CAUTH-051 - Refresh/edge","TC-CAUTH-051","Customer Auth","Refresh/edge","Medium","Medium","Refresh token cũ đã dùng","Dùng lại token cũ sau khi đã refresh","old token","⚠️ASSUMED: nếu không rotate/blacklist, token cũ vẫn hợp lệ tới khi hết hạn — ghi nhận rủi ro reuse","","","Customer-Auth"
"Test","TC-CAUTH-052 - Logout","TC-CAUTH-052","Customer Auth","Logout","Medium","Medium","Đã đăng nhập","POST /logout","—","200; clear refresh cookie/session nếu có","","","Customer-Auth"
"Test","TC-CAUTH-053 - Logout","TC-CAUTH-053","Customer Auth","Logout","Low","Low","Chưa đăng nhập","POST /logout không token","—","200 (idempotent) — ghi nhận hành vi","","","Customer-Auth"
"Test","TC-CAUTH-054 - Logout","TC-CAUTH-054","Customer Auth","Logout","Medium","Medium","Đã logout","Dùng lại accessToken cũ ở API cần auth","old token","⚠️ASSUMED: access token vẫn hợp lệ tới hết hạn (stateless JWT) — ghi nhận","","","Customer-Auth"
"Test","TC-CAUTH-055 - Forgot","TC-CAUTH-055","Customer Auth","Forgot","High","High","Email tồn tại","POST /forgot-password","`{email}`","200 `{message:""ok""}`; gửi mail reset link (TTL 15 phút)","","","Customer-Auth"
"Test","TC-CAUTH-056 - Forgot/enum","TC-CAUTH-056","Customer Auth","Forgot/enum","High","High","Email KHÔNG tồn tại","POST /forgot-password","email lạ","200 `{message:""ok""}` **giống hệt** — không lộ email tồn tại hay không","","","Customer-Auth"
"Test","TC-CAUTH-057 - Forgot/validation","TC-CAUTH-057","Customer Auth","Forgot/validation","Medium","Medium","—","Email sai format","`email:""x""`","400 ""Email không hợp lệ""","","","Customer-Auth"
"Test","TC-CAUTH-058 - Forgot/429","TC-CAUTH-058","Customer Auth","Forgot/429","Medium","Medium","authLimiter","Spam forgot nhiều lần","lặp","429 sau ngưỡng (chống mail bomb)","","","Customer-Auth"
"Test","TC-CAUTH-059 - Forgot/mail-fail","TC-CAUTH-059","Customer Auth","Forgot/mail-fail","Low","Low","SMTP lỗi","POST /forgot-password","valid","Vẫn trả `ok` (gửi mail best-effort, log warn)","","","Customer-Auth"
"Test","TC-CAUTH-060 - Forgot/token","TC-CAUTH-060","Customer Auth","Forgot/token","Medium","High","—","Kiểm tra reset token trong DB","—","Lưu **hash** token (sha256), không lưu raw","","","Customer-Auth"
"Test","TC-CAUTH-061 - Reset","TC-CAUTH-061","Customer Auth","Reset","High","Critical","Có reset token hợp lệ chưa dùng, chưa hết hạn","POST /reset-password","`{token,newPassword:""newpass1""}`","200 ""Đặt lại mật khẩu thành công""; login bằng pass mới OK","","","Customer-Auth"
"Test","TC-CAUTH-062 - Reset","TC-CAUTH-062","Customer Auth","Reset","High","High","Token đã dùng 1 lần","POST /reset-password lại token đó","dùng lại","400 ""Token đã được sử dụng""","","","Customer-Auth"
"Test","TC-CAUTH-063 - Reset","TC-CAUTH-063","Customer Auth","Reset","High","High","Token quá 15 phút","POST /reset-password","expired token","400 ""Token đã hết hạn""","","","Customer-Auth"
"Test","TC-CAUTH-064 - Reset","TC-CAUTH-064","Customer Auth","Reset","High","High","—","Token bịa/sai","random","400 ""Token không hợp lệ""","","","Customer-Auth"
"Test","TC-CAUTH-065 - Reset/validation","TC-CAUTH-065","Customer Auth","Reset/validation","Medium","Medium","—","newPassword 5 ký tự","`newPassword:""12345""`","400 ""Mật khẩu tối thiểu 6 ký tự""","","","Customer-Auth"
"Test","TC-CAUTH-066 - Reset/validation","TC-CAUTH-066","Customer Auth","Reset/validation","Medium","Medium","—","Thiếu token","`{newPassword}`","400 ""Thiếu token""","","","Customer-Auth"
"Test","TC-CAUTH-067 - Reset/concurrency","TC-CAUTH-067","Customer Auth","Reset/concurrency","High","High","1 token hợp lệ","2 request reset cùng token **đồng thời**","như bên","Chỉ 1 thành công (FOR UPDATE + used_at); cái còn lại 400","","","Customer-Auth"
"Test","TC-CAUTH-068 - Reset/rollback","TC-CAUTH-068","Customer Auth","Reset/rollback","Medium","High","DB lỗi giữa transaction","Mô phỏng lỗi sau updatePassword","—","ROLLBACK: password KHÔNG đổi & token KHÔNG bị đánh dấu used","","","Customer-Auth"
"Test","TC-CAUTH-069 - Reset/session","TC-CAUTH-069","Customer Auth","Reset/session","Medium","Medium","Đổi pass xong","Token/phiên cũ","—","⚠️ASSUMED: các phiên cũ không tự thu hồi (stateless) — đề xuất invalidate. Ghi nhận","","","Customer-Auth"
"Test","TC-CAUTH-070 - Verify email","TC-CAUTH-070","Customer Auth","Verify email","High","High","Có token verify hợp lệ (từ request-verification)","GET /verify-email?token=...","valid","200 ""Xác thực email thành công""; `email_verified=true`","","","Customer-Auth"
"Test","TC-CAUTH-071 - Verify email","TC-CAUTH-071","Customer Auth","Verify email","High","High","—","POST /verify-email body token","valid","200 như trên","","","Customer-Auth"
"Test","TC-CAUTH-072 - Verify email","TC-CAUTH-072","Customer Auth","Verify email","High","High","Token đã dùng","Verify lại","dùng lại","400 ""Token đã được sử dụng""","","","Customer-Auth"
"Test","TC-CAUTH-073 - Verify email","TC-CAUTH-073","Customer Auth","Verify email","High","High","Token quá 24h","Verify","expired","400 ""Token đã hết hạn""","","","Customer-Auth"
"Test","TC-CAUTH-074 - Verify email","TC-CAUTH-074","Customer Auth","Verify email","Medium","Medium","—","Token sai","random","400 ""Token không hợp lệ""","","","Customer-Auth"
"Test","TC-CAUTH-075 - Verify email","TC-CAUTH-075","Customer Auth","Verify email","Medium","Medium","—","GET /verify-email không token","—","400 (thiếu token)","","","Customer-Auth"
"Test","TC-CAUTH-076 - Request verify","TC-CAUTH-076","Customer Auth","Request verify","High","High","Đã đăng nhập, email chưa verify","POST /request-verification","Bearer token","200 ""Đã gửi email xác thực...""; tạo token 24h + gửi mail","","","Customer-Auth"
"Test","TC-CAUTH-077 - Request verify","TC-CAUTH-077","Customer Auth","Request verify","Medium","Medium","Email đã verify","POST /request-verification","—","200 ""Email đã được xác thực"" (không gửi lại)","","","Customer-Auth"
"Test","TC-CAUTH-078 - Request verify","TC-CAUTH-078","Customer Auth","Request verify","Medium","Medium","Tài khoản chưa có email","POST /request-verification","—","400 ""Tài khoản chưa có email""","","","Customer-Auth"
"Test","TC-CAUTH-079 - Request verify","TC-CAUTH-079","Customer Auth","Request verify","High","High","Chưa đăng nhập","POST /request-verification không token","—","401 Unauthorized","","","Customer-Auth"
"Test","TC-CAUTH-080 - Resend verify","TC-CAUTH-080","Customer Auth","Resend verify","Medium","Medium","Email tồn tại chưa verify","POST /resend-verification","`{email}`","200 `{message:""ok""}`; gửi lại mail","","","Customer-Auth"
"Test","TC-CAUTH-081 - Resend/enum","TC-CAUTH-081","Customer Auth","Resend/enum","High","High","Email không tồn tại","POST /resend-verification","email lạ","200 `{message:""ok""}` giống hệt (không lộ tồn tại)","","","Customer-Auth"
"Test","TC-CAUTH-082 - Resend","TC-CAUTH-082","Customer Auth","Resend","Low","Low","Email đã verified","POST /resend-verification","—","200 ok; **không** gửi mail (điều kiện `!email_verified`)","","","Customer-Auth"
"Test","TC-CAUTH-083 - Change pass","TC-CAUTH-083","Customer Auth","Change pass","High","Critical","Đã đăng nhập","POST /change-password đúng oldPassword","`{oldPassword,newPassword:""abcdef""}`","200; login pass mới OK, pass cũ fail","","","Customer-Auth"
"Test","TC-CAUTH-084 - Change pass","TC-CAUTH-084","Customer Auth","Change pass","High","High","Đã đăng nhập","Sai oldPassword","old sai","400 ""Mật khẩu cũ không đúng""","","","Customer-Auth"
"Test","TC-CAUTH-085 - Change pass","TC-CAUTH-085","Customer Auth","Change pass","High","High","Chưa đăng nhập","POST /change-password không token","—","401 Unauthorized","","","Customer-Auth"
"Test","TC-CAUTH-086 - Change pass/validation","TC-CAUTH-086","Customer Auth","Change pass/validation","Medium","Medium","Đã đăng nhập","newPassword 5 ký tự","`newPassword:""12345""`","400 ""Mật khẩu mới tối thiểu 6 ký tự""","","","Customer-Auth"
"Test","TC-CAUTH-087 - Change pass","TC-CAUTH-087","Customer Auth","Change pass","Low","Low","Đã đăng nhập","newPassword == oldPassword","trùng","⚠️ASSUMED: không chặn đặt lại pass cũ — đề xuất chặn. Ghi nhận","","","Customer-Auth"
"Test","TC-CAUTH-088 - Change pass/token","TC-CAUTH-088","Customer Auth","Change pass/token","Medium","High","Token của người khác","Đổi pass với token customer B nhưng nhắm id A","—","Chỉ đổi được pass của chính mình (customerId lấy từ token, không từ body)","","","Customer-Auth"
"Test","TC-CAUTH-089 - Permission","TC-CAUTH-089","Customer Auth","Permission","High","High","—","Customer token gọi API `/internal/*`","customer token","403 (sai loại tài khoản)","","","Customer-Auth"
"Test","TC-CAUTH-090 - JWT","TC-CAUTH-090","Customer Auth","JWT","High","High","—","Sửa payload token (đổi id) rồi gọi API auth","tampered","401 (chữ ký sai)","","","Customer-Auth"
"Test","TC-CAUTH-091 - JWT/alg","TC-CAUTH-091","Customer Auth","JWT/alg","High","Critical","—","Token với `alg:none`","forged","401 (từ chối alg none)","","","Customer-Auth"
"Test","TC-CAUTH-092 - Sensitive data","TC-CAUTH-092","Customer Auth","Sensitive data","High","High","—","Kiểm tra mọi response auth","—","Không bao giờ trả `password`/hash/reset token raw","","","Customer-Auth"
"Test","TC-CAUTH-093 - API error 404","TC-CAUTH-093","Customer Auth","API error 404","Low","Low","—","Gọi path sai `/customer/auth/xyz`","—","404","","","Customer-Auth"
"Test","TC-CAUTH-094 - API error 500","TC-CAUTH-094","Customer Auth","API error 500","Medium","High","DB down","POST /login khi DB unreachable","—","500 với message chung, không lộ stack/SQL ra client","","","Customer-Auth"
"Test","TC-CAUTH-095 - Network","TC-CAUTH-095","Customer Auth","Network","Low","Medium","—","Ngắt mạng giữa request","—","Client báo lỗi mạng, không tạo state nửa vời","","","Customer-Auth"
"Test","TC-CAUTH-096 - CSRF","TC-CAUTH-096","Customer Auth","CSRF","Medium","Medium","Refresh dùng cookie","POST /refresh-token cross-site","—","⚠️ASSUMED: nếu refresh qua cookie cần SameSite/CSRF protection — kiểm tra","","","Customer-Auth"
"Test","TC-CAUTH-097 - test-mail","TC-CAUTH-097","Customer Auth","test-mail","Medium","High","—","GET /test-mail (không auth)","—","⚠️RỦI RO: endpoint test gửi mail public → nên tắt/bảo vệ ở production. Ghi nhận bug tiềm ẩn","","","Customer-Auth"
"Test","TC-CAUTH-098 - UI/Signup","TC-CAUTH-098","Customer Auth","UI/Signup","Medium","Medium","Mở app","Submit form thiếu field","—","Hiển thị lỗi inline theo field, không gọi API","","","Customer-Auth"
"Test","TC-CAUTH-099 - UI/Signup","TC-CAUTH-099","Customer Auth","UI/Signup","Medium","Medium","—","Đang submit","click","Nút disabled + loading spinner, chặn double submit","","","Customer-Auth"
"Test","TC-CAUTH-100 - UI/Login","TC-CAUTH-100","Customer Auth","UI/Login","Medium","Medium","Login sai","Xem thông báo","—","Hiện ""Email hoặc mật khẩu không đúng""; không lộ field nào sai","","","Customer-Auth"
"Test","TC-CAUTH-101 - UI/Responsive","TC-CAUTH-101","Customer Auth","UI/Responsive","Low","Low","—","Xem trên mobile/tablet/desktop","—","Form responsive, không vỡ layout, bàn phím không che input","","","Customer-Auth"
"Test","TC-CAUTH-102 - UI/Password","TC-CAUTH-102","Customer Auth","UI/Password","Low","Low","—","Toggle hiện/ẩn mật khẩu","—","Ẩn mặc định; toggle hoạt động","","","Customer-Auth"
"Test","TC-CAUTH-103 - UI/Edge","TC-CAUTH-103","Customer Auth","UI/Edge","Medium","Medium","Token hết hạn khi đang dùng app","Gọi API bất kỳ","—","Auto refresh; nếu refresh fail → điều hướng về Login (session expired)","","","Customer-Auth"
"Test","TC-CPROF-001 - Get me","TC-CPROF-001","Profile","Get me","High","High","Đã đăng nhập, đã có PIN","GET /me","Bearer","200, trả profile gồm `wallet_balance` thật","","","Profile"
"Test","TC-CPROF-002 - Get me","TC-CPROF-002","Profile","Get me","High","High","Đã đăng nhập, **chưa** có PIN","GET /me","Bearer","200, `wallet_balance = null` (ẩn số dư)","","","Profile"
"Test","TC-CPROF-003 - Get me","TC-CPROF-003","Profile","Get me","High","High","Chưa đăng nhập","GET /me không token","—","401 Unauthorized","","","Profile"
"Test","TC-CPROF-004 - Get me","TC-CPROF-004","Profile","Get me","Medium","High","Token customer B","GET /me","B token","Chỉ trả hồ sơ của B (id lấy từ token) — không xem được người khác","","","Profile"
"Test","TC-CPROF-005 - Get me","TC-CPROF-005","Profile","Get me","Medium","Medium","Chưa xác thực email","GET /me","Bearer","200 (xem hồ sơ **không** cần verified email)","","","Profile"
"Test","TC-CPROF-006 - Get me","TC-CPROF-006","Profile","Get me","Medium","Medium","Customer bị xóa nhưng token còn","GET /me","Bearer","404 ""Không tìm thấy khách hàng""","","","Profile"
"Test","TC-CPROF-007 - Update","TC-CPROF-007","Profile","Update","High","High","Đã verified email","PUT /me hợp lệ","`{name,phone,dob,gender}`","200, cập nhật thành công","","","Profile"
"Test","TC-CPROF-008 - Update/permission","TC-CPROF-008","Profile","Update/permission","High","High","**Chưa** verified email","PUT /me","Bearer","403 (requireVerifiedEmail chặn)","","","Profile"
"Test","TC-CPROF-009 - Update/validation","TC-CPROF-009","Profile","Update/validation","Medium","Medium","verified","name = """"","`name:""""`","400 ""Vui lòng nhập họ tên"" (min 1 khi có)","","","Profile"
"Test","TC-CPROF-010 - Update/validation","TC-CPROF-010","Profile","Update/validation","Medium","Medium","verified","email sai format","`email:""abc""`","400 ""Email không hợp lệ""","","","Profile"
"Test","TC-CPROF-011 - Update/validation","TC-CPROF-011","Profile","Update/validation","Low","Low","verified","email = """" (chuỗi rỗng)","`email:""""`","200 (schema `.or(z.literal(""""))` cho phép rỗng)","","","Profile"
"Test","TC-CPROF-012 - Update/date","TC-CPROF-012","Profile","Update/date","Medium","Medium","verified","dob = """"","`dob:""""`","200; service chuyển `""""` → null (tránh lỗi kiểu DATE)","","","Profile"
"Test","TC-CPROF-013 - Update/date","TC-CPROF-013","Profile","Update/date","Medium","Medium","verified","dob sai format `31-02-2020`","như bên","⚠️ASSUMED: schema `dob` chỉ `string().optional()` không regex → cần DB từ chối hoặc 500. Kiểm tra, đề xuất validate","","","Profile"
"Test","TC-CPROF-014 - Update/date","TC-CPROF-014","Profile","Update/date","Medium","Low","verified","dob tương lai `2999-01-01`","như bên","⚠️ASSUMED: không chặn ngày sinh tương lai — đề xuất chặn","","","Profile"
"Test","TC-CPROF-015 - Update/phone","TC-CPROF-015","Profile","Update/phone","Medium","Medium","verified","phone chứa chữ `abcxyz`","như bên","⚠️ASSUMED: `phone` không regex → chấp nhận. Đề xuất validate SĐT VN","","","Profile"
"Test","TC-CPROF-016 - Update/XSS","TC-CPROF-016","Profile","Update/XSS","High","High","verified","name = `<img src=x onerror=alert(1)>`","như bên","Lưu literal, hiển thị escape (không execute)","","","Profile"
"Test","TC-CPROF-017 - Update/SQLi","TC-CPROF-017","Profile","Update/SQLi","High","Critical","verified","name = `'; UPDATE customers SET points=999999;--`","như bên","Parametrized, không thực thi","","","Profile"
"Test","TC-CPROF-018 - Update/unicode","TC-CPROF-018","Profile","Update/unicode","Low","Low","verified","name tiếng Việt + emoji","như bên","Lưu đúng","","","Profile"
"Test","TC-CPROF-019 - Update/mass-assign","TC-CPROF-019","Profile","Update/mass-assign","High","Critical","verified","Gửi thêm `points:999999, rank:""platinum"", wallet_balance:1e9`","như bên","Field ngoài schema bị bỏ; **không** tự nâng điểm/hạng/ví","","","Profile"
"Test","TC-CPROF-020 - Setup PIN","TC-CPROF-020","Profile","Setup PIN","High","Critical","verified email","POST /setup-pin","`{pin:""123456""}`","200; PIN lưu bcrypt hash (không plaintext)","","","Profile"
"Test","TC-CPROF-021 - Setup PIN/validation","TC-CPROF-021","Profile","Setup PIN/validation","High","High","verified","pin 5 số","`pin:""12345""`","400 ""Mã PIN phải gồm đúng 6 số""","","","Profile"
"Test","TC-CPROF-022 - Setup PIN/validation","TC-CPROF-022","Profile","Setup PIN/validation","High","High","verified","pin 7 số","`pin:""1234567""`","400 (length != 6)","","","Profile"
"Test","TC-CPROF-023 - Setup PIN/validation","TC-CPROF-023","Profile","Setup PIN/validation","Medium","Medium","verified","pin chứa chữ `12a45b`","như bên","⚠️ASSUMED: schema chỉ check length 6, không regex số → chấp nhận. Đề xuất `\d{6}`. Ghi nhận","","","Profile"
"Test","TC-CPROF-024 - Setup PIN/permission","TC-CPROF-024","Profile","Setup PIN/permission","High","High","**chưa** verified","POST /setup-pin","Bearer","403 requireVerifiedEmail","","","Profile"
